METGROUP, METRIC_ACRONYM  , INST, END_DATE            , VALUE
CPU     , CPU             , 1   , 2020-10-29T12:23:32 , 1
CPU     , CPU             , 1   , 2020-10-29T12:26:22 , 2
CPU     , CPU             , 1   , 2020-10-29T12:26:32 , 1
CPU     , CPU             , 1   , 2020-10-29T12:27:23 , 1
CPU     , CPU             , 1   , 2020-10-29T12:28:23 , 1
CPU     , CPU             , 1   , 2020-10-29T12:28:33 , 1
CPU     , CPU             , 1   , 2020-10-29T12:31:14 , 1
CPU     , CPU             , 1   , 2020-10-29T12:31:34 , 1
CPU     , CPU             , 1   , 2020-10-29T12:31:44 , 1
CPU     , CPU             , 1   , 2020-10-29T12:36:45 , 1
CPU     , CPU             , 1   , 2020-10-29T12:38:06 , 1
CPU     , CPU             , 1   , 2020-10-29T12:42:37 , 3
CPU     , CPU             , 1   , 2020-10-29T12:42:47 , 2
CPU     , CPU             , 1   , 2020-10-29T12:43:07 , 2
CPU     , CPU             , 1   , 2020-10-29T12:43:17 , 1
CPU     , CPU             , 1   , 2020-10-29T12:43:27 , 3
CPU     , CPU             , 1   , 2020-10-29T12:47:38 , 1
CPU     , CPU             , 1   , 2020-10-29T12:48:28 , 1
CPU     , CPU             , 1   , 2020-10-29T12:48:39 , 1
CPU     , CPU             , 1   , 2020-10-29T12:49:29 , 1
CPU     , CPU             , 1   , 2020-10-29T12:50:09 , 1
CPU     , CPU             , 1   , 2020-10-29T12:50:19 , 1
CPU     , CPU             , 1   , 2020-10-29T12:50:29 , 1
CPU     , CPU             , 1   , 2020-10-29T12:50:39 , 2
CPU     , CPU             , 1   , 2020-10-29T12:50:49 , 2
CPU     , CPU             , 1   , 2020-10-29T12:50:59 , 2
CPU     , CPU             , 1   , 2020-10-29T12:52:30 , 1
CPU     , CPU             , 1   , 2020-10-29T12:53:30 , 1
CPU     , CPU             , 1   , 2020-10-29T12:53:50 , 1
CPU     , CPU             , 1   , 2020-10-29T12:54:00 , 1
CPU     , CPU             , 1   , 2020-10-29T12:54:30 , 1
CPU     , CPU             , 1   , 2020-10-29T12:55:30 , 1
CPU     , CPU             , 1   , 2020-10-29T12:55:40 , 2
CPU     , CPU             , 1   , 2020-10-29T12:56:10 , 2
CPU     , CPU             , 1   , 2020-10-29T12:56:20 , 1
CPU     , CPU             , 1   , 2020-10-29T12:56:41 , 1
CPU     , CPU             , 1   , 2020-10-29T12:56:51 , 1
CPU     , CPU             , 1   , 2020-10-29T12:58:41 , 1
CPU     , CPU             , 1   , 2020-10-29T12:59:31 , 1
CPU     , CPU             , 1   , 2020-10-29T12:59:41 , 2
CPU     , CPU             , 1   , 2020-10-29T13:01:02 , 1
CPU     , CPU             , 1   , 2020-10-29T13:02:02 , 1
CPU     , CPU             , 1   , 2020-10-29T13:02:12 , 1
CPU     , CPU             , 1   , 2020-10-29T13:02:22 , 1
CPU     , CPU             , 1   , 2020-10-29T13:02:32 , 1
CPU     , CPU             , 1   , 2020-10-29T13:03:02 , 2
CPU     , CPU             , 1   , 2020-10-29T13:04:03 , 1
CPU     , CPU             , 1   , 2020-10-29T13:04:23 , 1
CPU     , CPU             , 1   , 2020-10-29T13:05:03 , 1
CPU     , CPU             , 1   , 2020-10-29T13:05:23 , 1
CPU     , CPU             , 1   , 2020-10-29T13:05:33 , 1
CPU     , CPU             , 1   , 2020-10-29T13:06:03 , 1
CPU     , CPU             , 1   , 2020-10-29T13:07:14 , 1
CPU     , CPU             , 1   , 2020-10-29T13:07:24 , 1
CPU     , CPU             , 1   , 2020-10-29T13:07:34 , 1
CPU     , CPU             , 1   , 2020-10-29T13:08:14 , 1
CPU     , CPU             , 1   , 2020-10-29T13:09:14 , 1
CPU     , CPU             , 1   , 2020-10-29T13:11:14 , 1
CPU     , CPU             , 1   , 2020-10-29T13:14:45 , 1
CPU     , CPU             , 1   , 2020-10-29T13:14:55 , 1
CPU     , CPU             , 1   , 2020-10-29T13:16:36 , 1
CPU     , CPU             , 1   , 2020-10-29T13:17:16 , 1
CPU     , CPU             , 1   , 2020-10-29T13:17:26 , 1
CPU     , CPU             , 1   , 2020-10-29T13:17:46 , 1
CPU     , CPU             , 1   , 2020-10-29T13:18:06 , 1
CPU     , CPU             , 1   , 2020-10-29T13:20:27 , 2
CPU     , CPU             , 1   , 2020-10-29T13:20:37 , 3
CPU     , CPU             , 1   , 2020-10-29T13:20:47 , 1
CPU     , CPU             , 1   , 2020-10-29T13:21:37 , 2
CPU     , CPU             , 1   , 2020-10-29T13:22:58 , 1
CPU     , CPU             , 1   , 2020-10-29T13:23:08 , 1
CPU     , CPU             , 1   , 2020-10-29T13:23:28 , 1
CPU     , CPU             , 1   , 2020-10-29T13:23:48 , 1
CPU     , CPU             , 1   , 2020-10-29T13:23:58 , 1
CPU     , CPU             , 1   , 2020-10-29T13:24:08 , 1
CPU     , CPU             , 1   , 2020-10-29T13:24:18 , 3
CPU     , CPU             , 1   , 2020-10-29T13:24:28 , 2
CPU     , CPU             , 1   , 2020-10-29T13:24:58 , 1
CPU     , CPU             , 1   , 2020-10-29T13:25:08 , 3
CPU     , CPU             , 1   , 2020-10-29T13:25:18 , 1
CPU     , CPU             , 1   , 2020-10-29T13:25:28 , 1
CPU     , CPU             , 1   , 2020-10-29T13:25:49 , 1
CPU     , CPU             , 1   , 2020-10-29T13:26:09 , 1
CPU     , CPU             , 1   , 2020-10-29T13:26:29 , 1
CPU     , CPU             , 1   , 2020-10-29T13:26:39 , 1
CPU     , CPU             , 1   , 2020-10-29T13:26:59 , 1
CPU     , CPU             , 1   , 2020-10-29T13:27:09 , 2
CPU     , CPU             , 1   , 2020-10-29T13:27:29 , 2
CPU     , CPU             , 1   , 2020-10-29T13:27:39 , 2
CPU     , CPU             , 1   , 2020-10-29T13:27:49 , 1
CPU     , CPU             , 1   , 2020-10-29T13:27:59 , 1
CPU     , CPU             , 1   , 2020-10-29T13:29:00 , 1
CPU     , CPU             , 1   , 2020-10-29T13:29:40 , 1
CPU     , CPU             , 1   , 2020-10-29T13:30:00 , 1
CPU     , CPU             , 1   , 2020-10-29T13:30:10 , 1
CPU     , CPU             , 1   , 2020-10-29T13:30:20 , 1
CPU     , CPU             , 1   , 2020-10-29T13:30:30 , 1
CPU     , CPU             , 1   , 2020-10-29T13:30:40 , 2
CPU     , CPU             , 1   , 2020-10-29T13:30:50 , 2
CPU     , CPU             , 1   , 2020-10-29T13:31:00 , 2
CPU     , CPU             , 1   , 2020-10-29T13:31:10 , 2
CPU     , CPU             , 1   , 2020-10-29T13:32:21 , 1
CPU     , CPU             , 1   , 2020-10-29T13:32:31 , 2
CPU     , CPU             , 1   , 2020-10-29T13:32:41 , 1
CPU     , CPU             , 1   , 2020-10-29T13:33:11 , 1
CPU     , CPU             , 1   , 2020-10-29T13:34:21 , 1
CPU     , CPU             , 1   , 2020-10-29T13:35:41 , 1
CPU     , CPU             , 1   , 2020-10-29T13:37:52 , 1
CPU     , CPU             , 1   , 2020-10-29T13:39:52 , 1
CPU     , CPU             , 1   , 2020-10-29T13:40:02 , 1
CPU     , CPU             , 1   , 2020-10-29T13:40:43 , 1
CPU     , CPU             , 1   , 2020-10-29T13:41:03 , 1
CPU     , CPU             , 1   , 2020-10-29T13:41:13 , 2
CPU     , CPU             , 1   , 2020-10-29T13:41:23 , 2
CPU     , CPU             , 1   , 2020-10-29T13:41:33 , 1
CPU     , CPU             , 1   , 2020-10-29T13:41:43 , 1
CPU     , CPU             , 1   , 2020-10-29T13:42:03 , 1
CPU     , CPU             , 1   , 2020-10-29T13:42:33 , 1
CPU     , CPU             , 1   , 2020-10-29T13:43:03 , 1
CPU     , CPU             , 1   , 2020-10-29T13:43:13 , 2
CPU     , CPU             , 1   , 2020-10-29T13:43:23 , 1
CPU     , CPU             , 1   , 2020-10-29T13:44:24 , 1
CPU     , CPU             , 1   , 2020-10-29T13:49:25 , 1
CPU     , CPU             , 1   , 2020-10-29T13:49:45 , 1
CPU     , CPU             , 1   , 2020-10-29T13:50:56 , 1
CPU     , CPU             , 1   , 2020-10-29T13:52:46 , 1
CPU     , CPU             , 1   , 2020-10-29T13:55:17 , 1
CPU     , CPU             , 1   , 2020-10-29T13:55:57 , 2
CPU     , CPU             , 1   , 2020-10-29T13:56:07 , 3
CPU     , CPU             , 1   , 2020-10-29T13:56:17 , 2
CPU     , CPU             , 1   , 2020-10-29T13:56:27 , 1
CPU     , CPU             , 1   , 2020-10-29T13:56:37 , 2
CPU     , CPU             , 1   , 2020-10-29T13:56:47 , 2
CPU     , CPU             , 1   , 2020-10-29T13:57:18 , 1
CPU     , CPU             , 1   , 2020-10-29T13:57:28 , 2
CPU     , CPU             , 1   , 2020-10-29T13:57:38 , 1
CPU     , CPU             , 1   , 2020-10-29T13:57:58 , 1
CPU     , CPU             , 1   , 2020-10-29T13:58:08 , 2
CPU     , CPU             , 1   , 2020-10-29T13:59:18 , 1
CPU     , CPU             , 1   , 2020-10-29T13:59:38 , 1
CPU     , CPU             , 1   , 2020-10-29T13:59:58 , 1
CPU     , CPU             , 1   , 2020-10-29T14:00:08 , 1
CPU     , CPU             , 1   , 2020-10-29T14:00:18 , 1
CPU     , CPU             , 1   , 2020-10-29T14:00:28 , 2
CPU     , CPU             , 1   , 2020-10-29T14:00:38 , 2
CPU     , CPU             , 1   , 2020-10-29T14:00:48 , 2
CPU     , CPU             , 1   , 2020-10-29T14:01:49 , 1
CPU     , CPU             , 1   , 2020-10-29T14:01:59 , 1
CPU     , CPU             , 1   , 2020-10-29T14:02:09 , 1
CPU     , CPU             , 1   , 2020-10-29T14:02:19 , 1
CPU     , CPU             , 1   , 2020-10-29T14:02:29 , 1
CPU     , CPU             , 1   , 2020-10-29T14:02:39 , 1
CPU     , CPU             , 1   , 2020-10-29T14:03:09 , 1
CPU     , CPU             , 1   , 2020-10-29T14:03:19 , 1
CPU     , CPU             , 1   , 2020-10-29T14:04:09 , 1
CPU     , CPU             , 1   , 2020-10-29T14:04:30 , 1
CPU     , CPU             , 1   , 2020-10-29T14:06:30 , 1
CPU     , CPU             , 1   , 2020-10-29T14:08:11 , 1
CPU     , CPU             , 1   , 2020-10-29T14:08:21 , 2
CPU     , CPU             , 1   , 2020-10-29T14:08:31 , 2
CPU     , CPU             , 1   , 2020-10-29T14:08:41 , 1
CPU     , CPU             , 1   , 2020-10-29T14:08:51 , 1
CPU     , CPU             , 1   , 2020-10-29T14:09:01 , 1
CPU     , CPU             , 1   , 2020-10-29T14:09:21 , 1
CPU     , CPU             , 1   , 2020-10-29T14:09:41 , 1
CPU     , CPU             , 1   , 2020-10-29T14:09:51 , 1
CPU     , CPU             , 1   , 2020-10-29T14:10:01 , 2
CPU     , CPU             , 1   , 2020-10-29T14:10:11 , 3
CPU     , CPU             , 1   , 2020-10-29T14:10:21 , 1
CPU     , CPU             , 1   , 2020-10-29T14:10:31 , 1
CPU     , CPU             , 1   , 2020-10-29T14:10:41 , 2
CPU     , CPU             , 1   , 2020-10-29T14:12:52 , 1
CPU     , CPU             , 1   , 2020-10-29T14:22:35 , 1
CPU     , CPU             , 1   , 2020-10-29T14:22:45 , 1
CPU     , CPU             , 1   , 2020-10-29T14:23:05 , 1
CPU     , CPU             , 1   , 2020-10-29T14:23:25 , 1
CPU     , CPU             , 1   , 2020-10-29T14:25:05 , 1
CPU     , CPU             , 1   , 2020-10-29T14:27:06 , 1
CPU     , CPU             , 1   , 2020-10-29T14:27:56 , 1
CPU     , CPU             , 1   , 2020-10-29T14:31:47 , 1
CPU     , CPU             , 1   , 2020-10-29T14:32:17 , 1
CPU     , CPU             , 1   , 2020-10-29T14:34:28 , 1
CPU     , CPU             , 1   , 2020-10-29T14:38:39 , 1
CPU     , CPU             , 1   , 2020-10-29T14:39:39 , 1
CPU     , CPU             , 1   , 2020-10-29T14:40:19 , 1
CPU     , CPU             , 1   , 2020-10-29T14:41:30 , 1
CPU     , CPU             , 1   , 2020-10-29T14:45:01 , 1
CPU     , CPU             , 1   , 2020-10-29T14:48:32 , 1
CPU     , CPU             , 1   , 2020-10-29T14:53:33 , 1
CPU     , CPU             , 1   , 2020-10-29T14:53:43 , 1
CPU     , CPU             , 1   , 2020-10-29T14:55:33 , 1
CPU     , CPU             , 1   , 2020-10-29T14:57:24 , 1
CPU     , CPU             , 1   , 2020-10-29T14:58:54 , 1
CPU     , CPU             , 1   , 2020-10-29T15:00:05 , 1
CPU     , CPU             , 1   , 2020-10-29T15:01:05 , 1
CPU     , CPU             , 1   , 2020-10-29T15:01:35 , 1
