REPORT_DATE
-------------------
2020-11-06T11:45:41
PDB: FRSTPROD
---
TABLE_NAME                     OWNER.INDEX_NAME                      SAVING %         CURRENT SIZE       ESTIMATED SIZE  COMMAND
T_USR_ADD                      THH_C4C.IX_UADD_UNIVID                 25.6 %              752.6 MB             560.0 MB  ALTER INDEX thh_c4c.ix_uadd_univid REBUILD ONLINE;
T_MDCLCLM                      THH_C4C.IX_MCLM_CLASSTYPE              35.9 %              749.1 MB             480.0 MB  ALTER INDEX thh_c4c.ix_mclm_classtype REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_CITY_OBJ_STT        46.6 %              748.9 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_city_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_CNTY_OBJ_STT        46.4 %              746.2 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_cnty_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_ZIP4_OBJ_STT        44.0 %              743.1 MB             416.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_zip4_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_ZIP4R_OBJ_STT       43.7 %              738.4 MB             416.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_zip4r_obj_stt REBUILD ONLINE;
FACT_ENROLLMENT                THH_C4C.FACT_ENROLLMENT_NDX_MEMBER_    53.2 %              735.7 MB             344.0 MB  ALTER INDEX thh_c4c.fact_enrollment_ndx_member_id REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_STT_OBJ_STT         47.8 %              735.2 MB             384.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_stt_obj_stt REBUILD ONLINE;
A_ENNS                         THH_C4C.IX_A_ELNS_IDVALIDFROM          34.4 %              731.4 MB             480.0 MB  ALTER INDEX thh_c4c.ix_a_elns_idvalidfrom REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_CNTY_ID_OBJ_STT        45.3 %              730.7 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_cnty_id_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_CNRY_OBJ_STT        47.2 %              727.0 MB             384.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_cnry_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_STTSTR_OBJ_STT      42.8 %              699.6 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_sttstr_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_CITY_ID_OBJ_STT        41.8 %              687.4 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_city_id_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ID_STTSTRR_OBJ_STT     41.8 %              687.2 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_id_sttstrr_obj_stt REBUILD ONLINE;
A_ENNS                         THH_C4C.AX_ELNS_CLASSTYPE              34.5 %              671.9 MB             440.0 MB  ALTER INDEX thh_c4c.ax_elns_classtype REBUILD ONLINE;
A_ENNS                         THH_C4C.PERFAENNSX10                   27.2 %              659.2 MB             480.0 MB  ALTER INDEX thh_c4c.perfaennsx10 REBUILD ONLINE;
T_USR_ADD                      THH_C4C.PK_T_USR_ADD                   39.1 %              630.9 MB             384.0 MB  ALTER INDEX thh_c4c.pk_t_usr_add REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ZIP4_ID_OBJ_STT        34.0 %              630.0 MB             416.0 MB  ALTER INDEX thh_c4c.ix_uadd_zip4_id_obj_stt REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_ZIP4R_ID_OBJ_STT       31.6 %              608.1 MB             416.0 MB  ALTER INDEX thh_c4c.ix_uadd_zip4r_id_obj_stt REBUILD ONLINE;
A_PVDRASTN                     THH_C4C.AX_PRAS_CLASSTYPE              33.7 %              566.9 MB             376.0 MB  ALTER INDEX thh_c4c.ax_pras_classtype REBUILD ONLINE;
T_USR_ADD                      THH_C4C.IX_UADD_CLASSTYPE              26.4 %              543.5 MB             400.0 MB  ALTER INDEX thh_c4c.ix_uadd_classtype REBUILD ONLINE;
T_ENNS                         THH_C4C.IX_ELNS_CLASSTYPE              31.5 %              525.8 MB             360.0 MB  ALTER INDEX thh_c4c.ix_elns_classtype REBUILD ONLINE;
